,device_number,device_description,site,work_order_number,work_order_priority_description,wo_type_description,problem_reported,lot_year,num_parts_from_storeroom,num_parts_from_po,repair_part_number,repair_part_name,repair_part_stocktype,total_parts_used
1587,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Marana, AZ",5602272,Corrective Maintenance,Corrective COR,2013-02-04 12:49:07,4.0,0.0,1.0,11RM64,DOOR CLOSER ,CONSUMABLE,1.0
1588,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Marana, AZ",5292841,Corrective Maintenance,Corrective COR,2012-07-10 13:18:03,4.0,0.0,3.0,480400,TESTER,CONSUMABLE,3.0
1604,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Hunter AAF, GA",5571061,Corrective Maintenance,Corrective COR,2013-01-17 12:49:00,4.0,1.0,0.0,70434-1,CONTACTOR,CONSUMABLE,1.0
1607,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Bliss, TX",6464781,Bench/Depot Repair,Corrective COR,2014-09-12 15:59:17,6.0,5.0,0.0,1VTG3,"TEE, BARBED, 5/8"", 150PSI, THOGUS",CONSUMABLE,5.0
1614,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Marana, AZ",5621706,Corrective Maintenance,Corrective COR,2013-02-20 11:44:17,4.0,0.0,1.0,113-003,INSERTION TOOLS,CONSUMABLE,1.0
1615,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Marana, AZ",5621706,Corrective Maintenance,Corrective COR,2013-02-20 11:44:17,4.0,0.0,1.0,501227X-09,COVER,CONSUMABLE,1.0
1616,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Carson, CO",5510661,Corrective Maintenance,Corrective COR,2012-12-05 11:55:50,4.0,0.0,1.0,50CD36-01-1-AJN,SWITCH,CONSUMABLE,1.0
1618,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Indiantown Gap, PA",5324370,Bench/Depot Repair,Corrective COR,2012-08-01 12:00:00,4.0,0.0,1.0,013R00636,"REPLACEMENT DRIUM, PRINTER CARTRIDGE COPIER , XEROX,",CONSUMABLE,1.0
1619,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Hood, TX",6762492,Corrective Maintenance,Corrective COR,2015-04-01 10:33:34,6.0,0.0,2.0,A12J011,"UNIT, FUSING, 110V, MINOLTA",CONSUMABLE,2.0
1620,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Hood, TX",6762492,Corrective Maintenance,Corrective COR,2015-04-01 10:33:34,6.0,0.0,2.0,A0VU011,"DRUM, IMAGING, KONICA",CONSUMABLE,2.0
1625,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Rucker, AL",6559565,Corrective Maintenance,Corrective COR,2014-11-12 08:48:00,6.0,0.0,4.0,CM85,LAMP,CONSUMABLE,4.0
1628,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),Korea - Camp Humphreys,6269513,Corrective Maintenance,Corrective COR,2014-05-05 23:15:00,6.0,14.0,0.0,04622,STRAP,CONSUMABLE,14.0
1638,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Bliss, TX",5346986,Corrective Maintenance,Corrective COR,2012-08-15 10:55:00,4.0,0.0,1.0,PX7600GS,VIDEO CARD,CONSUMABLE,1.0
1641,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Drum, NY",5962557,Corrective Maintenance,Corrective COR,2013-10-03 09:00:00,5.0,1.0,0.0,A72AA-4,BULB,CONSUMABLE,1.0
1648,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Marana, AZ",6451964,Corrective Maintenance,Corrective COR,2014-09-03 16:33:16,6.0,0.0,1.0,SP21227,ADAPTER,CONSUMABLE,1.0
1649,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Marana, AZ",6451964,Corrective Maintenance,Corrective COR,2014-09-03 16:33:16,6.0,0.0,1.0,A001556-001,CABLE,CONSUMABLE,1.0
1650,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Marana, AZ",6451964,Corrective Maintenance,Corrective COR,2014-09-03 16:33:16,6.0,0.0,2.0,SP21227,ADAPTER,CONSUMABLE,2.0
1655,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Carson, CO",6294589,Corrective Maintenance,Corrective COR,2014-05-23 10:45:38,6.0,0.0,1.0,1650EN,PRINTER,CONSUMABLE,1.0
1660,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Lewis, WA",5730904,Corrective Maintenance,Corrective COR,2013-04-29 15:51:31,4.0,0.0,8.0,CF110STABT,"SYSTEM, PRESSURE EQUALIZATION, TIRE, DUAL, CROSSFIRE, 110 PSI, DUAL DYNAMICS",CONSUMABLE,8.0
1663,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Indiantown Gap, PA",5215409,Corrective Maintenance,Corrective COR,2012-05-12 09:00:00,4.0,20.0,0.0,AR1041-S22,RECEPTACLE,CONSUMABLE,20.0
1664,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Indiantown Gap, PA",5215409,Corrective Maintenance,Corrective COR,2012-05-12 09:00:00,4.0,35.0,0.0,12-P-607,SCREW,CONSUMABLE,35.0
1665,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Indiantown Gap, PA",5215409,Corrective Maintenance,Corrective COR,2012-05-12 09:00:00,4.0,50.0,0.0,AR1041-S22,RECEPTACLE,CONSUMABLE,50.0
1673,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Bliss, TX",6603193,Corrective Maintenance,Corrective COR,2014-12-12 08:58:46,6.0,0.0,20.0,CM85,LAMP,CONSUMABLE,20.0
1680,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Wheeler AAF, HI",6805318,Corrective Maintenance,Corrective COR,2015-04-20 13:55:20,6.0,0.0,1.0,801-1030-0334-504,LIGHT,CONSUMABLE,1.0
1686,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),Germany - Illesheim,6194330,Bench/Depot Repair,Corrective COR,2014-03-25 12:21:27,5.0,2.0,0.0,CZ143FN#140,CARTRIDGE INK,CONSUMABLE,2.0
1687,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),Germany - Illesheim,6194330,Bench/Depot Repair,Corrective COR,2014-03-25 12:21:27,5.0,2.0,0.0,CZ143FN#140,CARTRIDGE INK,CONSUMABLE,2.0
1688,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),Germany - Illesheim,6194330,Bench/Depot Repair,Corrective COR,2014-03-25 12:21:27,5.0,2.0,0.0,CZ143FN#140,CARTRIDGE INK,CONSUMABLE,2.0
1689,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),Germany - Illesheim,6194330,Bench/Depot Repair,Corrective COR,2014-03-25 12:21:27,5.0,2.0,0.0,CZ143FN#140,CARTRIDGE INK,CONSUMABLE,2.0
1691,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),Korea - Camp Humphreys,5947315,Corrective Maintenance,Corrective COR,2013-09-23 11:48:00,5.0,1.0,0.0,3310Y-125-103L,POTENTIOMETER,CONSUMABLE,1.0
