,device_number,device_description,site,work_order_number,work_order_priority_description,wo_type_description,problem_reported,lot_year,num_parts_from_storeroom,num_parts_from_po,repair_part_number,repair_part_name,repair_part_stocktype,total_parts_used
1363,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",6748313,Corrective Maintenance,Corrective COR,2015-03-24 15:54:24,6.0,1.0,0.0,AY-23103Z-EOS,"CAMERA, IMAGING SYSTEM, DUAL SENSOR, SENSPEX",REPAIRABLE,1.0
1364,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",6748313,Corrective Maintenance,Corrective COR,2015-03-24 15:54:24,6.0,1.0,0.0,AY-23103Z-EOS,"CAMERA, IMAGING SYSTEM, DUAL SENSOR, SENSPEX",REPAIRABLE,1.0
1388,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",6061368,Corrective Maintenance,Corrective COR,2013-12-24 08:03:49,5.0,1.0,0.0,20-3401,"ASSEMBLY, ECU, TARGET CONTROL PCA",REPAIRABLE,1.0
3552,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",6587530,Corrective Maintenance,Corrective COR,2014-12-01 13:17:07,6.0,1.0,0.0,921475,"MOTOR, 6HP, 36VCD, 1200 RPM, MEGGITT",REPAIRABLE,1.0
3749,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Benning, GA",6409847,Corrective Maintenance,Corrective COR,2014-08-14 15:33:00,6.0,1.0,0.0,912323,"CONVERTTER, DC/DC,150W,MEGGITT",REPAIRABLE,1.0
3751,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Benning, GA",6409847,Corrective Maintenance,Corrective COR,2014-08-14 15:33:00,6.0,1.0,0.0,65936,MOD-LINEFEED 5 COND,REPAIRABLE,1.0
4374,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Stewart, GA",6140520,Corrective Maintenance,Corrective COR,2014-02-20 01:00:00,5.0,1.0,0.0,AXIS 20-31,"ENCODER, 4 CHANNEL BOSCH VIDEO ENCODER, BOSH,TACTICAL MICRO",REPAIRABLE,1.0
4585,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",6573553,Corrective Maintenance,Corrective COR,2014-11-20 00:30:00,6.0,1.0,0.0,917662,"KSLT COLLECTOR, 5 COND. 5 METER CBL",REPAIRABLE,1.0
4586,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",6573553,Corrective Maintenance,Corrective COR,2014-11-20 00:30:00,6.0,1.0,0.0,917277,"ARM, TOW SUPPORT SKIN, MEGGITT",REPAIRABLE,1.0
4592,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Yakima, WA",6189158,Corrective Maintenance,Corrective COR,2014-03-17 19:00:00,5.0,1.0,0.0,PCB-VSC-C,"SWITCH, IPU SWITCH CONTROLLER BOARD-4 CHANNEL FOR CMU REV C, TACTICAL MICRO",REPAIRABLE,1.0
4596,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Riley, KS",6540943,Corrective Maintenance,Corrective COR,2014-10-29 19:10:00,6.0,1.0,0.0,SLX-5MS-5SC,"SWITCH, ETHERNET, SC FIBER, SIXNET",REPAIRABLE,1.0
4603,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",6063047,Corrective Maintenance,Corrective COR,2013-12-16 12:03:00,5.0,3.0,0.0,20-3401,"ASSEMBLY, ECU, TARGET CONTROL PCA",REPAIRABLE,3.0
4873,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Riley, KS",6397754,Corrective Maintenance,Corrective COR,2014-07-31 09:00:00,6.0,1.0,0.0,20-3776,"CHARGER, BATTERY",REPAIRABLE,1.0
4930,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",5939759,Corrective Maintenance,Corrective COR,2013-09-17 10:00:00,5.0,15.0,0.0,170654,"CABLE, BEOD-PU EXTENSION",REPAIRABLE,15.0
4931,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",5939759,Corrective Maintenance,Corrective COR,2013-09-17 10:00:00,5.0,2.0,0.0,23407-3,"DIGITAL SM RECEIVER MODULE, 9211 DR, OPTELECOM",REPAIRABLE,2.0
4932,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",5939759,Corrective Maintenance,Corrective COR,2013-09-17 10:00:00,5.0,15.0,0.0,160423,"CABLE, RADIO POWER RACK",REPAIRABLE,15.0
4936,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",5939759,Corrective Maintenance,Corrective COR,2013-09-17 10:00:00,5.0,28.0,0.0,170650,BATTERY ELIMINATOR ON BOARD DEVICE-POWER UNIT,REPAIRABLE,28.0
5136,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",6000879,Corrective Maintenance,Corrective COR,2013-10-31 16:00:00,5.0,1.0,0.0,MFB24004,"ANTENNA ASSEMBLY, 4DBI",REPAIRABLE,1.0
5183,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",6738646,Corrective Maintenance,Corrective COR,2015-03-18 11:14:12,6.0,1.0,0.0,20-3642,SPEED SENSOR HARNESS ASSY,REPAIRABLE,1.0
5194,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",6000877,Corrective Maintenance,Corrective COR,2013-10-30 16:36:00,5.0,1.0,0.0,MFB24004,"ANTENNA ASSEMBLY, 4DBI",REPAIRABLE,1.0
5247,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Benning, GA",6302916,Corrective Maintenance,Corrective COR,2014-05-28 01:00:02,6.0,1.0,0.0,0A38028,"DISK DRIVE, 1 TB W/DRIVE TRAY & RAILS, PIVIOT",REPAIRABLE,1.0
5296,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",6224645,Corrective Maintenance,Corrective COR,2014-04-09 13:24:10,5.0,1.0,0.0,65372,FRONT WHEEL SENSOR ASSY,REPAIRABLE,1.0
5327,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",6033651,Corrective Maintenance,Corrective COR,2013-11-25 01:30:00,5.0,1.0,0.0,917662,"KSLT COLLECTOR, 5 COND. 5 METER CBL",REPAIRABLE,1.0
5328,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",6033651,Corrective Maintenance,Corrective COR,2013-11-25 01:30:00,5.0,1.0,0.0,917704,"FUNNEL, Right KSLT 5 cond ESTTN 5R",REPAIRABLE,1.0
5356,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",6509391,Corrective Maintenance,Corrective COR,2014-10-08 21:55:01,6.0,2.0,0.0,917704,"FUNNEL, Right KSLT 5 cond ESTTN 5R",REPAIRABLE,2.0
5357,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",6509392,Corrective Maintenance,Corrective COR,2014-10-08 22:02:58,6.0,3.0,0.0,917662,"KSLT COLLECTOR, 5 COND. 5 METER CBL",REPAIRABLE,3.0
5427,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",6439811,Corrective Maintenance,Corrective COR,2014-08-22 13:42:43,6.0,1.0,0.0,917662,"KSLT COLLECTOR, 5 COND. 5 METER CBL",REPAIRABLE,1.0
5437,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Riley, KS",6107229,Corrective Maintenance,Corrective COR,2014-01-28 12:00:00,5.0,1.0,0.0,PCB-VSC-C,"SWITCH, IPU SWITCH CONTROLLER BOARD-4 CHANNEL FOR CMU REV C, TACTICAL MICRO",REPAIRABLE,1.0
5600,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Yakima, WA",6434947,Corrective Maintenance,Corrective COR,2014-08-23 20:22:32,6.0,1.0,0.0,PCB-VSC-C,"SWITCH, IPU SWITCH CONTROLLER BOARD-4 CHANNEL FOR CMU REV C, TACTICAL MICRO",REPAIRABLE,1.0
5686,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Stewart, GA",6283828,Corrective Maintenance,Corrective COR,2014-05-15 07:00:00,6.0,1.0,0.0,ME4120-LXXX,"MESH ENGINE, CMU 2.4GHZ BAND, TACTICAL MICRO",REPAIRABLE,1.0
5716,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Yakima, WA",6156435,Corrective Maintenance,Corrective COR,2014-02-28 13:40:09,5.0,1.0,0.0,PCB-VSC-C,"SWITCH, IPU SWITCH CONTROLLER BOARD-4 CHANNEL FOR CMU REV C, TACTICAL MICRO",REPAIRABLE,1.0
5869,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",6741903,Corrective Maintenance,Corrective COR,2015-03-19 15:18:18,6.0,1.0,0.0,917662,"KSLT COLLECTOR, 5 COND. 5 METER CBL",REPAIRABLE,1.0
6094,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Yakima, WA",6184405,Corrective Maintenance,Corrective COR,2014-03-17 19:00:00,5.0,1.0,0.0,PCB-VSC-C,"SWITCH, IPU SWITCH CONTROLLER BOARD-4 CHANNEL FOR CMU REV C, TACTICAL MICRO",REPAIRABLE,1.0
