,device_number,device_description,site,work_order_number,work_order_priority_description,wo_type_description,problem_reported,lot_year,num_parts_from_storeroom,num_parts_from_po,repair_part_number,repair_part_name,repair_part_stocktype,total_parts_used
1335,GMDT,,Warfighter Support Center,5267442,System - Device Down,Corrective COR,2012-06-20 14:06:00,5,1,0,6400221P93,"COMPUTER, 2U RACKMOUNT SYSTEM IG/HOST",REPAIRABLE,1.0
2106,GMDT,,"Gowen Field, ID",5432032,System - Device Down,Corrective COR,2012-10-10 02:00:00,4,1,0,ST325031NS,HARD DRIVE,CONSUMABLE,1.0
4808,GMDT,LAV-25 M-AGTS |DV03TS04A,Warfighter Support Center,5648313,System - Device Down,Corrective COR,2013-03-06 08:30:00,4,1,0,6400221P93,"COMPUTER, 2U RACKMOUNT SYSTEM IG/HOST",REPAIRABLE,1.0
4944,GMDT,LAV-25 M-AGTS |DV03TS04A,Warfighter Support Center,5922432,System - Device Down,Corrective COR,2013-09-05 15:00:00,5,1,0,1813,LAMP,CONSUMABLE,1.0
4945,GMDT,LAV-25 M-AGTS |DV03TS04A,Warfighter Support Center,5922432,System - Device Down,Corrective COR,2013-09-05 15:00:00,5,1,0,ELB06042,6 VOLT 4 AMP HOUR BATTERY,CONSUMABLE,1.0
4951,GMDT,LAV-25 M-AGTS |DV03TS04A,"Los Alamitos, CA",6714810,System - Device Down,Corrective COR,2015-03-04 13:08:00,6,1,0,750-631/000-010,"ENCODER, INTERFACE, WAGO INNOVATIVE CONNECTIONS",CONSUMABLE,1.0
5000,GMDT,LAV-25 M-AGTS |DV03TS04A,"Twenty Nine Palms, CA",5927347,System - Device Down,Corrective COR,2013-09-09 22:20:00,5,1,0,SUA5000RMT5U,"POWER SUPPLY, UNINTERRUPTED, APC",CONSUMABLE,1.0
5001,GMDT,LAV-25 M-AGTS |DV03TS04A,"Los Alamitos, CA",6007572,System - Device Down,Corrective COR,2013-11-08 18:00:00,5,1,0,750-631/000-010,"ENCODER, INTERFACE, WAGO INNOVATIVE CONNECTIONS",CONSUMABLE,1.0
5011,GMDT,LAV-25 M-AGTS |DV03TS04A,"Los Alamitos, CA",5929477,System - Device Down,Corrective COR,2013-09-10 13:00:00,5,1,0,6400360P1,"DISPLAY ASSEMBLY BIOC, 2""",REPAIRABLE,1.0
5012,GMDT,LAV-25 M-AGTS |DV03TS04A,"Los Alamitos, CA",5929477,System - Device Down,Corrective COR,2013-09-10 13:00:00,5,1,0,6400360P1,"DISPLAY ASSEMBLY BIOC, 2""",REPAIRABLE,1.0
