,device_number,device_description,site,work_order_number,work_order_priority_description,wo_type_description,problem_reported,lot_year,num_parts_from_storeroom,num_parts_from_po,repair_part_number,repair_part_name,repair_part_stocktype,total_parts_used
57567,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",6999661,Corrective Maintenance,Corrective COR,2015-08-15 01:18:01,7.0,1.0,0.0,91822,"DO NOT USE  OBSOLETE  USE ALTERNATE SWITCH, -4BS3N.C.-IMPACT",CONSUMABLE,1.0
57585,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",7000818,PMCS,Preventive PM,2015-08-18 11:03:22,7.0,4.0,0.0,1UBY3,"OIL, MOTOR, 5W30, QT, VALVOLINE",CONSUMABLE,4.0
57597,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Benning, GA",7003919,Corrective Maintenance,Corrective COR,2015-08-17 21:00:00,7.0,1.0,0.0,20-3644-6,"ASSEMBLY, CABLE, ENET TO ENET, 6FT, MEGGITT",CONSUMABLE,1.0
57598,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Benning, GA",7003920,Corrective Maintenance,Corrective COR,2015-08-17 21:30:00,7.0,1.0,0.0,SLX-8MS-5SC,"SWITCH, 8-PORT, ETHERNET MANAGED,MDL# SLX-8MS-5SC, SIXNET",REPAIRABLE,1.0
57603,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Riley, KS",7003965,Corrective Maintenance,Corrective COR,2015-08-18 02:45:00,7.0,1.0,0.0,100003C,"CONNECTORS, CAT-5, EZ-RJ45, PLATINUM TOOLS, 50PK",CONSUMABLE,1.0
57624,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",7004789,Corrective Maintenance,Corrective COR,2015-08-18 13:42:48,7.0,1.0,0.0,913028-1,"CONTROL, ELECTRIC VEHICLE, EV-10,MEGGITT",CONSUMABLE,1.0
57633,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Yakima, WA",7005065,Corrective Maintenance,Corrective COR,2015-08-18 02:36:36,7.0,1.0,0.0,PCB-VSC-C,"SWITCH, IPU SWITCH CONTROLLER BOARD-4 CHANNEL FOR CMU REV C, MDL#PCB-VSC-C,  TACTICAL MICRO",REPAIRABLE,1.0
57654,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",7005610,Corrective Maintenance,Corrective COR,2015-08-19 10:30:43,7.0,1.0,0.0,20-3495,"PC ASSEMBLY, I/O, PNP, TARGET, MEGGITT",CONSUMABLE,1.0
57655,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",7005611,Corrective Maintenance,Corrective COR,2015-08-19 10:42:35,7.0,1.0,0.0,91822,"DO NOT USE  OBSOLETE  USE ALTERNATE SWITCH, -4BS3N.C.-IMPACT",CONSUMABLE,1.0
57660,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",7005998,Corrective Maintenance,Corrective COR,2015-08-19 15:30:40,7.0,1.0,0.0,1030438,"CABLE, POWER, 230 VAC, SAT",CONSUMABLE,1.0
57661,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",7006000,Corrective Maintenance,Corrective COR,2015-08-19 15:30:12,7.0,1.0,0.0,TGT-I-P,LIVEFIRE STATIONARY INFANTRY TARGET TGT-I-P,CONSUMABLE,1.0
57662,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",7006000,Corrective Maintenance,Corrective COR,2015-08-19 15:30:12,7.0,1.0,0.0,912900,"CONNECTOR, MIL SPEC, HIT SENSOR",CONSUMABLE,1.0
57663,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Hood, TX",7006137,Corrective Maintenance,Corrective COR,2015-08-20 08:29:58,7.0,8.0,0.0,CT-SB-26-TRT-120-MTL,"TARGET,THERMAL,2X6 TURRENT TABLE,CALIENTE",CONSUMABLE,8.0
57664,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",7006536,Corrective Maintenance,Corrective COR,2015-08-20 08:37:59,7.0,1.0,0.0,917284,"REGENERATIVE DRIVE, MEGGITT DEFENCE",CONSUMABLE,1.0
57674,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Benning, GA",7007935,Corrective Maintenance,Corrective COR,2015-08-21 07:20:00,7.0,1.0,0.0,20-3495-01,Target Control Card (MAT),CONSUMABLE,1.0
