,device_number,device_description,site,work_order_number,work_order_priority_description,wo_type_description,problem_reported,lot_year,num_parts_from_storeroom,num_parts_from_po,repair_part_number,repair_part_name,repair_part_stocktype,total_parts_used
83215,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,5572074,System - Device Degraded,Corrective COR,2013-01-17 16:19:00,4.0,1.0,0.0,921343307,CABLE ASSEMBLY,CONSUMABLE,1.0
83258,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,6043622,System - Device Degraded,Corrective COR,2013-12-04 15:51:00,5.0,1.0,0.0,921340246-009,"LCD, 19 IN. WITH MICROPHONE",REPAIRABLE,1.0
83291,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,6056071,System - Device Degraded,Corrective COR,2013-12-13 15:08:00,5.0,1.0,0.0,R43-954,NIGHT VISION FILTER ELEMENT,CONSUMABLE,1.0
83292,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,6056071,System - Device Degraded,Corrective COR,2013-12-13 15:08:00,5.0,4.0,0.0,5610000,"OIL, COMPRESSOR, JUN-AIR SJ-27",CONSUMABLE,4.0
83293,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,6056071,System - Device Degraded,Corrective COR,2013-12-13 15:08:00,5.0,6.0,0.0,5412000,FILTER,CONSUMABLE,6.0
83429,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,6379177,System - Device Degraded,Corrective COR,2014-07-17 09:20:00,6.0,1.0,0.0,921343307,CABLE ASSEMBLY,CONSUMABLE,1.0
83530,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,6639804,System - Device Degraded,Corrective COR,2015-01-09 10:56:00,6.0,4.0,0.0,6LR61,"BATTERY, BLOCK",CONSUMABLE,4.0
83563,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,5569818,System - Device Degraded,Corrective COR,2013-01-16 11:28:00,4.0,1.0,0.0,921343307,CABLE ASSEMBLY,CONSUMABLE,1.0
83675,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,6258119,System - Device Degraded,Corrective COR,2014-04-30 13:37:00,5.0,4.0,0.0,CSP-EST-C,"PLACARD, CUSTOMER SUPPORT PROCEDURES, EST, CONUS",CONSUMABLE,4.0
83676,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,6258119,System - Device Degraded,Corrective COR,2014-04-30 13:37:00,5.0,12.0,0.0,921340153-LABEL,"LABEL, FLOOR BOX CAUTION",CONSUMABLE,12.0
