,device_number,device_description,site,work_order_number,work_order_priority_description,wo_type_description,problem_reported,lot_year,num_parts_from_storeroom,num_parts_from_po,repair_part_number,repair_part_name,repair_part_stocktype,total_parts_used
104518,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),"Marana, AZ",5962242,System - Device Degraded,Corrective COR,2013-09-18 12:00:00,5.0,2.0,0.0,CAMERA BRKT FOAM,CAMERA BRKT FOAM - #2 CLPE CHARCOAL,REPAIRABLE,2.0
104541,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),Warfighter Support Center,5438164,System - Device Down,Corrective COR,2012-10-16 02:00:00,4.0,2.0,0.0,CAMERA BRKT FOAM,CAMERA BRKT FOAM - #2 CLPE CHARCOAL,REPAIRABLE,2.0
104563,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),"Ft Lee, VA",6396769,System - Device Down,Corrective COR,2014-07-30 14:00:00,6.0,1.0,0.0,AEP-1500-241-P4,"INVERTER, 24VDC TO 110VAC, UNIVERSAL OUTLET",REPAIRABLE,1.0
104629,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),"Ft Sill, OK",5365475,System - Device Degraded,Corrective COR,2012-08-24 09:35:33,4.0,1.0,0.0,CAMERA BRKT FOAM,CAMERA BRKT FOAM - #2 CLPE CHARCOAL,REPAIRABLE,1.0
104662,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),Warfighter Support Center,5747203,System - Device Down,Corrective COR,2013-05-10 08:15:00,5.0,1.0,0.0,NPC-44124,"MOTOR, W/BRAKE",REPAIRABLE,1.0
104680,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),"Camp McCain, MS",5411966,Corrective Maintenance,Corrective COR,2012-09-11 15:45:00,4.0,1.0,0.0,CAMERA BRKT FOAM,CAMERA BRKT FOAM - #2 CLPE CHARCOAL,REPAIRABLE,1.0
104683,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),Warfighter Support Center,6386880,Corrective Maintenance,Corrective COR,2014-08-13 15:00:00,6.0,1.0,0.0,900-US-07301,"HARNESS ASSEMBLY, HMMWV GUNNER (WITH SWIVEL)",REPAIRABLE,1.0
104728,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),"Camp Shelby, MS",6184918,System - Device Degraded,Corrective COR,2014-03-18 21:07:00,5.0,2.0,0.0,CAMERA BRKT FOAM,CAMERA BRKT FOAM - #2 CLPE CHARCOAL,REPAIRABLE,2.0
104763,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),Warfighter Support Center,6098096,System - Device Degraded,Corrective COR,2014-01-22 15:14:10,5.0,2.0,0.0,CAMERA BRKT FOAM,CAMERA BRKT FOAM - #2 CLPE CHARCOAL,REPAIRABLE,2.0
104767,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),"Camp Shelby, MS",6184904,System - Device Degraded,Corrective COR,2014-03-18 19:46:00,5.0,2.0,0.0,CAMERA BRKT FOAM,CAMERA BRKT FOAM - #2 CLPE CHARCOAL,REPAIRABLE,2.0
