,device_number,device_description,site,work_order_number,work_order_priority_description,wo_type_description,problem_reported,lot_year,num_parts_from_storeroom,num_parts_from_po,repair_part_number,repair_part_name,repair_part_stocktype,total_parts_used
135944,TES,M2K Multiple Integrated Laser Engagement System 2000 (MILES 2000) M240 Machine Gun Kit,"Ft Polk, LA",DR5474477,Bench/Depot Repair,Corrective COR,2012-11-05 13:50:05,4.0,1.0,0.0,148440-8Y,OPTICAL POST ASSEMBLY M240 UNIVERSAL(W/ RESONATOR),REPAIRABLE,1.0
135945,TES,M2K Multiple Integrated Laser Engagement System 2000 (MILES 2000) M240 Machine Gun Kit,"Ft Polk, LA",DR5474477,Bench/Depot Repair,Corrective COR,2012-11-05 13:50:05,4.0,1.0,0.0,146840-2,"CCA, M2 SAT",REPAIRABLE,1.0
135990,TES,M2K Multiple Integrated Laser Engagement System 2000 (MILES 2000) M240 Machine Gun Kit,"Ft Lewis, WA",DR6713480,Bench/Depot Repair,Corrective COR,2015-03-06 03:00:00,6.0,1.0,0.0,146840-1,"CCA, SAT LOT IV",REPAIRABLE,1.0
136002,TES,M2K Multiple Integrated Laser Engagement System 2000 (MILES 2000) M240 Machine Gun Kit,"Ft Lewis, WA",DR6270728,Bench/Depot Repair,Corrective COR,2014-05-09 03:00:00,6.0,1.0,0.0,148460-2,M240 SAT,REPAIRABLE,1.0
136006,TES,M2K Multiple Integrated Laser Engagement System 2000 (MILES 2000) M240 Machine Gun Kit,"Ft Lewis, WA",DR5719119,Bench/Depot Repair,Corrective COR,2013-04-26 03:00:00,4.0,1.0,0.0,146840-2,"CCA, M2 SAT",REPAIRABLE,1.0
136063,TES,M2K Multiple Integrated Laser Engagement System 2000 (MILES 2000) M240 Machine Gun Kit,Warfighter Support Center,DR5829453,Bench/Depot Repair,Corrective COR,2013-07-26 00:00:00,5.0,1.0,0.0,148456-7,"HOUSING, SAT, M240 (for Transmitters 148460, 184093)",REPAIRABLE,1.0
136083,TES,M2K Multiple Integrated Laser Engagement System 2000 (MILES 2000) M240 Machine Gun Kit,"Ft Polk, LA",DR5566050,Bench/Depot Repair,Corrective COR,2013-01-14 17:28:25,4.0,1.0,0.0,146840-2,"CCA, M2 SAT",REPAIRABLE,1.0
136085,TES,M2K Multiple Integrated Laser Engagement System 2000 (MILES 2000) M240 Machine Gun Kit,"Ft Polk, LA",DR5566049,Bench/Depot Repair,Corrective COR,2013-01-14 17:28:24,4.0,1.0,0.0,146840-2,"CCA, M2 SAT",REPAIRABLE,1.0
136120,TES,M2K Multiple Integrated Laser Engagement System 2000 (MILES 2000) M240 Machine Gun Kit,"Ft Polk, LA",DR5466024,Bench/Depot Repair,Corrective COR,2012-11-01 07:52:45,4.0,1.0,0.0,148440-8Y,OPTICAL POST ASSEMBLY M240 UNIVERSAL(W/ RESONATOR),REPAIRABLE,1.0
136121,TES,M2K Multiple Integrated Laser Engagement System 2000 (MILES 2000) M240 Machine Gun Kit,"Ft Polk, LA",DR5466024,Bench/Depot Repair,Corrective COR,2012-11-01 07:52:45,4.0,1.0,0.0,146840-2,"CCA, M2 SAT",REPAIRABLE,1.0
136123,TES,M2K Multiple Integrated Laser Engagement System 2000 (MILES 2000) M240 Machine Gun Kit,"Ft Polk, LA",DR5466023,Bench/Depot Repair,Corrective COR,2012-11-01 07:52:44,4.0,1.0,0.0,148440-8Y,OPTICAL POST ASSEMBLY M240 UNIVERSAL(W/ RESONATOR),REPAIRABLE,1.0
136124,TES,M2K Multiple Integrated Laser Engagement System 2000 (MILES 2000) M240 Machine Gun Kit,"Ft Polk, LA",DR5466022,Bench/Depot Repair,Corrective COR,2012-11-01 07:52:43,4.0,1.0,0.0,146840-2,"CCA, M2 SAT",REPAIRABLE,1.0
