,device_number,device_description,site,work_order_number,work_order_priority_description,wo_type_description,problem_reported,lot_year,num_parts_from_storeroom,num_parts_from_po,repair_part_number,repair_part_name,repair_part_stocktype,total_parts_used
65,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),Korea - Camp Humphreys,6347787,System - Device Degraded,Corrective COR,2014-06-26 21:00:00,6.0,1.0,0.0,205-1200-1,ASSEMBLY,REPAIRABLE,1.0
103,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),Korea - Camp Humphreys,6504506,System - Device Degraded,Corrective COR,2014-10-06 00:00:00,6.0,1.0,0.0,205-1200-1,ASSEMBLY,REPAIRABLE,1.0
115,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),Korea - Camp Humphreys,6346543,System - Device Degraded,Corrective COR,2014-06-16 21:30:00,6.0,1.0,0.0,IM2700XLPE-BLACK,"CASE, PELICAN STANDARD BLACK, TSA",CONSUMABLE,1.0
142,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),Korea - Camp Humphreys,6375171,System - Device Degraded,Corrective COR,2014-07-15 00:00:00,6.0,1.0,0.0,205-1200-1,ASSEMBLY,REPAIRABLE,1.0
143,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),Korea - Camp Humphreys,6375171,System - Device Degraded,Corrective COR,2014-07-15 00:00:00,6.0,1.0,0.0,205-1200-1,ASSEMBLY,REPAIRABLE,1.0
230,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Drum, NY",6354300,System - Device Degraded,Corrective COR,2014-06-30 11:00:00,6.0,1.0,0.0,205-1200-1,ASSEMBLY,REPAIRABLE,1.0
231,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Drum, NY",6354300,System - Device Degraded,Corrective COR,2014-06-30 11:00:00,6.0,1.0,0.0,205-1200-1,ASSEMBLY,REPAIRABLE,1.0
232,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Drum, NY",6354300,System - Device Degraded,Corrective COR,2014-06-30 11:00:00,6.0,1.0,0.0,205-1200-1,ASSEMBLY,REPAIRABLE,1.0
233,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Drum, NY",6354300,System - Device Degraded,Corrective COR,2014-06-30 11:00:00,6.0,1.0,0.0,205-1200-1,ASSEMBLY,REPAIRABLE,1.0
234,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Drum, NY",6354300,System - Device Degraded,Corrective COR,2014-06-30 11:00:00,6.0,1.0,0.0,205-1200-1,ASSEMBLY,REPAIRABLE,1.0
258,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),Korea - Camp Humphreys,5791870,System - Device Degraded,Corrective COR,2013-06-11 12:16:00,5.0,1.0,0.0,205-1200-1,ASSEMBLY,REPAIRABLE,1.0
