,device_number,device_description,site,work_order_number,work_order_priority_description,wo_type_description,problem_reported,lot_year,num_parts_from_storeroom,num_parts_from_po,repair_part_number,repair_part_name,repair_part_stocktype,total_parts_used
6,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Bragg, NC",6148129,Corrective Maintenance,Corrective COR,2014-02-24 14:27:14,5.0,1.0,0.0,A001766-001,CCA,REPAIRABLE,1.0
27,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Drum, NY",6437856,Corrective Maintenance,Corrective COR,2014-08-26 13:04:00,6.0,1.0,0.0,205-1200-1,ASSEMBLY,REPAIRABLE,1.0
65,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),Korea - Camp Humphreys,6347787,System - Device Degraded,Corrective COR,2014-06-26 21:00:00,6.0,1.0,0.0,205-1200-1,ASSEMBLY,REPAIRABLE,1.0
74,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Drum, NY",6378531,Corrective Maintenance,Corrective COR,2014-07-17 08:30:00,6.0,1.0,0.0,205-1200-1,ASSEMBLY,REPAIRABLE,1.0
103,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),Korea - Camp Humphreys,6504506,System - Device Degraded,Corrective COR,2014-10-06 00:00:00,6.0,1.0,0.0,205-1200-1,ASSEMBLY,REPAIRABLE,1.0
105,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),Korea - Camp Humphreys,6051468,Bench/Depot Repair,Corrective COR,2013-12-11 11:00:00,5.0,1.0,0.0,A001361-002,CYCLIC ASSY ,REPAIRABLE,1.0
109,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Wainwright, AK",5566134,Bench/Depot Repair,Corrective COR,2013-01-14 14:53:44,4.0,1.0,0.0,P000523-003,COMPUTER BOARD,REPAIRABLE,1.0
110,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Wainwright, AK",5566134,Bench/Depot Repair,Corrective COR,2013-01-14 14:53:44,4.0,1.0,0.0,P000523-003,COMPUTER BOARD,REPAIRABLE,1.0
112,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Campbell, KY",6376679,Bench/Depot Repair,Corrective COR,2014-07-15 16:15:33,6.0,1.0,0.0,80001607,FORCE SENSOR CYCLIC WITH CABLE,REPAIRABLE,1.0
113,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Campbell, KY",6376679,Bench/Depot Repair,Corrective COR,2014-07-15 16:15:33,6.0,1.0,0.0,80001607,FORCE SENSOR CYCLIC WITH CABLE,REPAIRABLE,1.0
119,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Wheeler AAF, HI",5792781,Corrective Maintenance,Corrective COR,2013-06-11 08:00:00,5.0,1.0,0.0,MYTA 010-091C-014R-015N-028-01,"SERVO ACTUATOR, CYCLIC OR COLLECTIVE, WITTENSTEIN",REPAIRABLE,1.0
134,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Hood, TX",6637624,Bench/Depot Repair,Corrective COR,2015-01-12 15:47:00,6.0,1.0,0.0,205-1200-1,ASSEMBLY,REPAIRABLE,1.0
135,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Hood, TX",6637624,Bench/Depot Repair,Corrective COR,2015-01-12 15:47:00,6.0,1.0,0.0,205-1200-1,ASSEMBLY,REPAIRABLE,1.0
142,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),Korea - Camp Humphreys,6375171,System - Device Degraded,Corrective COR,2014-07-15 00:00:00,6.0,1.0,0.0,205-1200-1,ASSEMBLY,REPAIRABLE,1.0
143,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),Korea - Camp Humphreys,6375171,System - Device Degraded,Corrective COR,2014-07-15 00:00:00,6.0,1.0,0.0,205-1200-1,ASSEMBLY,REPAIRABLE,1.0
