,device_number,device_description,site,work_order_number,work_order_priority_description,wo_type_description,problem_reported,lot_year,num_parts_from_storeroom,num_parts_from_po,repair_part_number,repair_part_name,repair_part_stocktype,total_parts_used
1342,CCTT,,"Ft Benning, GA",5595339,System - Device Down,Corrective COR,2013-01-31 07:00:00,4.0,0.0,1.0,VS-S720-10G-3C,CAT 6500 SUPERVISOR 720 W/2 PORTS 10Gbe,CONSUMABLE,1.0
1409,CCTT,,"Ft Hood, TX",6608241,System - Device Down,Corrective COR,2014-12-17 08:30:00,6.0,0.0,1.0,WS-X6748-SFP,"SWITCH, CATALYST 6500, 48-PORT, CISCO",CONSUMABLE,1.0
1587,CCTT,,"Ft Benning, GA",5945997,System - Device Down,Corrective COR,2013-09-23 06:00:00,5.0,1.0,0.0,520-S14-P,"HAND TRUCK, MIGHTY-LITE, 520 SERIES, WESCO",CONSUMABLE,1.0
1839,CCTT,,"Ft Benning, GA",6603141,System - Device Down,Corrective COR,2014-12-12 07:00:00,6.0,1.0,0.0,449CRT,"SMOKE DETECTOR, 400 SERIED PHOTOELECTRIC, 12/24VDC, UL, UNITED",CONSUMABLE,1.0
2196,CCTT,Close Combat Tactical Trainer (CCTT) Fixed Site M1V Module,"Ft Hood, TX",5598194,System - Device Down,Corrective COR,2013-02-01 16:00:00,4.0,1.0,0.0,M5594/3-1,"SWITCH,TOGGLE,MAG H",CONSUMABLE,1.0
2201,CCTT,Close Combat Tactical Trainer (CCTT) Fixed Site M1V Module,"Ft Hood, TX",5548293,System - Device Down,Corrective COR,2013-01-03 09:15:00,4.0,1.0,0.0,M5594/3-1,"SWITCH,TOGGLE,MAG H",CONSUMABLE,1.0
3500,CCTT,Close Combat Tactical Trainer (CCTT) Fixed Site M1A1,Korea - Camp Casey,5634447,System - Device Down,Corrective COR,2013-02-27 23:00:00,4.0,1.0,0.0,540-G4526-1,HANDLE GUNNERS M1A1/A2,REPAIRABLE,1.0
3547,CCTT,Close Combat Tactical Trainer (CCTT) Fixed Site M1A1,Korea - Camp Casey,5936018,System - Device Down,Corrective COR,2013-09-16 20:00:00,5.0,1.0,0.0,2A PICO,PICO FUSE,CONSUMABLE,1.0
3548,CCTT,Close Combat Tactical Trainer (CCTT) Fixed Site M1A1,Korea - Camp Casey,6537660,System - Device Down,Corrective COR,2014-10-29 00:00:00,6.0,5.0,0.0,748333-4,"CONTACT, ELECTRICAL, TYCO ELECTRONICS",CONSUMABLE,5.0
3549,CCTT,Close Combat Tactical Trainer (CCTT) Fixed Site M1A1,Korea - Camp Casey,5963101,System - Device Down,Corrective COR,2013-09-16 20:00:00,5.0,1.0,0.0,CR2430,"BATTERY, COIN, 3V",CONSUMABLE,1.0
