,device_number,device_description,site,work_order_number,work_order_priority_description,wo_type_description,problem_reported,lot_year,num_parts_from_storeroom,num_parts_from_po,repair_part_number,repair_part_name,repair_part_stocktype,total_parts_used
10338,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Marana, AZ",5743792,System - Device Down,Corrective COR,2013-05-08 19:15:50,5.0,1.0,0.0,AP204511,ELECTRICAL CONNECTOR,CONSUMABLE,1.0
12452,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Camp Shelby, MS",6502658,System - Device Down,Corrective COR,2014-10-03 12:23:44,6.0,1.0,0.0,6EP1434-1SH01,POWER SUPPLY,CONSUMABLE,1.0
12824,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),Korea - Camp Humphreys,6561305,System - Device Down,Corrective COR,2014-11-09 16:00:00,6.0,1.0,0.0,6EP1434-1SH01,POWER SUPPLY,CONSUMABLE,1.0
13876,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Hunter AAF, GA",5991466,System - Device Down,Corrective COR,2013-09-28 09:00:00,5.0,1.0,0.0,205-1200-1,ASSEMBLY,REPAIRABLE,1.0
14880,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),Korea - Camp Humphreys,6866631,System - Device Down,Corrective COR,2015-05-26 23:20:00,7.0,1.0,0.0,MYTA025,ACTUATOR,REPAIRABLE,1.0
15286,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Eastover, SC",6924069,System - Device Down,Corrective COR,2015-06-30 09:00:00,7.0,1.0,0.0,B120,CIRCUIT BREAKER,CONSUMABLE,1.0
15296,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Eastover, SC",6925395,System - Device Down,Corrective COR,2015-06-30 09:00:00,7.0,0.0,1.0,B120,CIRCUIT BREAKER,CONSUMABLE,1.0
15911,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Orlando, FL",7022315,System - Device Down,Corrective COR,2015-08-26 13:00:00,7.0,1.0,0.0,DL2700WPIC26D,"LOCK, ALARM LEVER W/IC CORE PREP WEATHER PROOF SATIN CHROME IC CORE INCLUDED, TRILOGY",CONSUMABLE,1.0
17228,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Knox, KY",7200998,System - Device Down,Corrective COR,2015-12-16 07:45:00,7.0,1.0,0.0,PC48-207A04800,PROCESSOR,REPAIRABLE,1.0
17841,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Gowen Field, ID",7270547,System - Device Down,Corrective COR,2016-02-04 12:33:00,7.0,0.0,4.0,NP4-6,"BATTERY, 6V 4A, EMERGENCY LIGHT, DURACELL",CONSUMABLE,4.0
