,device_number,device_description,site,work_order_number,work_order_priority_description,wo_type_description,problem_reported,lot_year,num_parts_from_storeroom,num_parts_from_po,repair_part_number,repair_part_name,repair_part_stocktype,total_parts_used
91,LMTS,Laser Markmanship Training System,Warfighter Support Center,DR6330711,Bench/Depot Repair,Corrective COR,2014-06-13 10:54:02,6.0,1.0,0.0,LT-300,LASER,REPAIRABLE,1.0
97,LMTS,Laser Markmanship Training System,Warfighter Support Center,DR6330713,Bench/Depot Repair,Corrective COR,2014-06-13 10:54:05,6.0,1.0,0.0,LT-300,LASER,REPAIRABLE,1.0
103,LMTS,Laser Markmanship Training System,Warfighter Support Center,6364416,Bench/Depot Repair,Corrective COR,2014-07-08 13:45:53,6.0,1.0,0.0,LT-300,LASER,REPAIRABLE,1.0
130,LMTS,Laser Markmanship Training System,Warfighter Support Center,DR6450582,Bench/Depot Repair,Corrective COR,2014-09-02 16:06:05,6.0,1.0,0.0,MD3541,MRL-1001-02/MINI RETS LIFTER,REPAIRABLE,1.0
336,LMTS,Laser Markmanship Training System,Warfighter Support Center,DR5930278,Bench/Depot Repair,Corrective COR,2013-09-11 13:09:12,5.0,1.0,0.0,LT-300,LASER,REPAIRABLE,1.0
391,LMTS,Laser Markmanship Training System,Warfighter Support Center,DR5967329,Bench/Depot Repair,Corrective COR,2013-10-08 08:43:10,5.0,1.0,0.0,LT-300,LASER,REPAIRABLE,1.0
605,LMTS,Laser Markmanship Training System,Warfighter Support Center,DR5826712,Bench/Depot Repair,Corrective COR,2013-07-02 09:13:03,5.0,1.0,0.0,LT-300,LASER,REPAIRABLE,1.0
616,LMTS,Laser Markmanship Training System,Warfighter Support Center,DR6367755,Bench/Depot Repair,Corrective COR,2014-07-11 11:00:00,6.0,1.0,0.0,LT-300,LASER,REPAIRABLE,1.0
618,LMTS,Laser Markmanship Training System,Warfighter Support Center,DR6367754,Bench/Depot Repair,Corrective COR,2014-07-11 10:50:00,6.0,1.0,0.0,LT-300,LASER,REPAIRABLE,1.0
659,LMTS,Laser Markmanship Training System,Warfighter Support Center,DR6193271,Bench/Depot Repair,Corrective COR,2014-03-24 16:02:13,5.0,1.0,0.0,MD3528,TARGET,REPAIRABLE,1.0
689,LMTS,Laser Markmanship Training System,Warfighter Support Center,DR6270259,Bench/Depot Repair,Corrective COR,2014-05-06 11:42:15,6.0,1.0,0.0,LT-300,LASER,REPAIRABLE,1.0
700,LMTS,Laser Markmanship Training System,Warfighter Support Center,DR5693378,Bench/Depot Repair,Corrective COR,2013-04-04 08:15:00,4.0,1.0,0.0,LT-300,LASER,REPAIRABLE,1.0
701,LMTS,Laser Markmanship Training System,Germany - Baumholder,5487405,Corrective Maintenance,Corrective COR,2012-10-19 05:00:00,4.0,1.0,0.0,MD3528,TARGET,REPAIRABLE,1.0
735,LMTS,Laser Markmanship Training System,Germany - Baumholder,5452589,Corrective Maintenance,Corrective COR,2012-10-19 05:00:00,4.0,1.0,0.0,MD3528,TARGET,REPAIRABLE,1.0
736,LMTS,Laser Markmanship Training System,Germany - Baumholder,5452592,Corrective Maintenance,Corrective COR,2012-10-19 05:00:00,4.0,1.0,0.0,MD3528,TARGET,REPAIRABLE,1.0
