,rmse_tsb,rmse_ses,rmse_dotm,rmse_rf,rmse_svr,rmse_mlp,mae_tsb,mae_ses,mae_dotm,mae_rf,mae_svr,mae_mlp
0,0.1368726787330358,0.14558683368539554,0.21083790316544024,0.14550546716260027,0.14177446878757824,0.16495122635883813,0.022679845554931608,0.08687248035326134,0.19111015311248017,0.0728896845930215,0.030000000000000002,0.10148798203553727
1,0.0016637914127995538,0.11660770763493856,0.24790548798270015,0.09631332140163432,0.01,0.11454666432100201,0.0016637914127995545,0.11660770763493852,0.24761415825355476,0.09631332140163432,0.01,0.11454666432100204
2,0.21699169963974904,0.15440735918021228,0.2300419032912612,0.15475207741399113,0.14177446878757824,0.1692746786342401,0.1996819958339625,0.10727379197408167,0.215155601879914,0.09777804673299074,0.03,0.11658055773645692
3,2.271371013423796e-15,0.007067130300337353,0.00040441953867190276,0.005805064081045461,0.01,0.00633148956409535,2.271371013423796e-15,0.007067130300337352,0.00040148940720849424,0.005805064081045461,0.01,0.0063314895640953495
4,2.271371013423796e-15,0.007067130300337353,0.00040441953867190276,0.005805064081045461,0.01,0.00633148956409535,2.271371013423796e-15,0.007067130300337352,0.00040148940720849424,0.005805064081045461,0.01,0.0063314895640953495
5,0.18375136232745806,0.5115251167521068,0.5738463263552661,0.11538199227639383,0.009999999999999997,0.11187652260044612,0.183751362327458,0.5115251167521069,0.5736453598972903,0.11538199227639381,0.009999999999999997,0.11187652260044612
6,0.27472112789737807,0.27472112789737807,0.27472112789737807,0.2857142857142857,0.2857142857142857,0.2961026696169775,0.03773584905660377,0.03773584905660377,0.03773584905660377,0.04081632653061224,0.04081632653061224,0.06129014401267269
7,0.13736056394868904,0.13736056394868904,0.13736056394868904,0.14285714285714285,0.14285714285714285,0.1625775694993416,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.02040816326530612,0.02040816326530612,0.04088198074736656
8,3.3230699935123057e-05,0.010600699262444904,0.01348917591263584,0.008176924155904274,0.009999999999999997,0.01358262374623853,3.323069993512305e-05,0.010600699262444903,0.01348345545541788,0.008176924155904276,0.009999999999999997,0.013582623746238531
9,2.451992865385431e-07,0.0035335615209640863,0.006616008198390398,0.0032570879275047497,0.01,0.0020533323871801956,2.4519928653854313e-07,0.0035335615209640876,0.006608071770081513,0.0032570879275047497,0.01,0.0020533323871801956
10,1.2747311841679144e-20,0.010600676271424345,0.014026891515935173,0.009810362919987162,0.01,0.011359583017864883,1.2747311841679147e-20,0.010600676271424348,0.01400665394185465,0.009810362919987164,0.01,0.011359583017864883
11,6.380294379767612e-05,0.010600699093845417,0.024527350717168998,0.010909523694947531,0.01,0.021280257518619505,6.380294379767614e-05,0.01060069909384542,0.02449724568657988,0.010909523694947533,0.01,0.021280257518619505
12,2.8430974451871593e-25,0.010600704448544744,0.025556191884075048,0.017407571256978435,0.01,0.011899137466662602,2.84309744518716e-25,0.010600704448544745,0.025521228817921262,0.017407571256978435,0.01,0.011899137466662602
13,2.8430974451871593e-25,0.010600704448544744,0.025556191884075048,0.017407571256978435,0.01,0.011899137466662602,2.84309744518716e-25,0.010600704448544745,0.025521228817921262,0.017407571256978435,0.01,0.011899137466662602
14,3.4658371176510488e-15,0.0035335614620613438,0.0001973469746186128,0.00398690108015782,0.01,0.0023881825927678513,3.465837117651047e-15,0.003533561462061345,0.00019730542224419463,0.003986901080157819,0.01,0.0023881825927678513
15,3.4658371176510488e-15,0.0035335614620613438,0.0001973469746186128,0.00398690108015782,0.01,0.0023881825927678513,3.465837117651047e-15,0.003533561462061345,0.00019730542224419463,0.003986901080157819,0.01,0.0023881825927678513
16,8.872543021186692e-15,0.01766783657165074,0.000222759051664505,0.025336824040812184,0.01,0.023873546439086676,8.872543021186692e-15,0.01766783657165074,0.00020751408972567029,0.02533682404081219,0.01,0.02387354643908668
17,2.249456897278768e-18,0.007067130294189687,0.0053529855707202785,0.00727836346786497,0.01,0.007655153517535208,2.249456897278768e-18,0.007067130294189689,0.005344591190851003,0.007278363467864971,0.01,0.007655153517535207
18,3.4658371176510488e-15,0.0035335614620613438,0.0001973469746186128,0.00398690108015782,0.01,0.0023881825927678513,3.465837117651047e-15,0.003533561462061345,0.00019730542224419463,0.003986901080157819,0.01,0.0023881825927678513
