,rmse_tsb,rmse_ses,rmse_dotm,rmse_knn,rmse_rf,rmse_svr,rmse_mlp,mae_tsb,mae_ses,mae_dotm,mae_knn,mae_rf,mae_svr,mae_mlp
19448,0.024932953,0.081272073,0.080076238,0.029411765,0.056194401,0.010663564,0.07456441,0.024932953,0.081272073,0.080076012,0.029411765,0.056194401,0.010663564,0.07456441
19449,4.21E-24,0.003533567,0.007157076,0,0.00179986,0.01,0.005314025,4.21E-24,0.003533567,0.00714716,0,0.00179986,0.01,0.005314025
19450,0.013743895,0.00706713,0.011207677,0,0.004789536,0.01,0.012246625,0.013743895,0.00706713,0.011198821,0,0.004789536,0.01,0.012246625
19451,0.336463292,0.332945725,0.333073166,0.345816443,0.349284175,0.34773025,0.372346297,0.075471699,0.091139409,0.090861349,0.132052821,0.096619876,0.090408163,0.115160732
19452,5.718597714,8.57412851,8.979755839,8.56842817,5.617629084,6.237554373,7.164650404,5.45179539,8.475678402,8.882458652,8.444777911,2.383456983,6.014190057,7.018244948
19453,0.274266908,0.274104152,0.277933272,0.338750326,0.283496074,0.284457952,0.291162044,0.041068105,0.105749633,0.126996379,0.258103241,0.096953161,0.050408163,0.129445215
19454,1.07E-11,0.003533561,0.003060671,0,0.003271545,0.01,0.005572161,1.07E-11,0.003533561,0.003057388,0,0.003271545,0.01,0.005572161
19455,1.00E-10,0.021201407,0.019316534,0.176470588,0.021890943,0.01,0.020150238,1.00E-10,0.021201407,0.019295603,0.176470588,0.021890943,0.01,0.020150238
19456,1.70E-05,0.003533561,0.008098406,0,0.002902647,0.01,0.001799476,1.70E-05,0.003533561,0.008088477,0,0.002902647,0.01,0.001799476
19457,7.07E-20,4.99E-12,0.091967417,0,0.089933609,0.01,0.107015626,7.07E-20,4.99E-12,0.083853629,0,0.089933609,0.01,0.107015626
19458,1.990543682,1.633887819,1.722454471,1.75682514,1.594988198,1.690667577,1.727683186,1.169811321,1.461450894,1.573321263,1.454981993,1.255836887,0.983979667,1.486139911
19459,0.026843546,0.003533561,0.010536538,0,0.003629852,0.01,0.005367394,0.026843546,0.003533561,0.01052297,0,0.003629852,0.01,0.005367394
19460,8.63E-09,0.003533561,0.005435772,0.029411765,0.002907996,0.01,0.004879115,8.63E-09,0.003533561,0.005429395,0.029411765,0.002907996,0.01,0.004879115
19461,0.149958295,0.136919935,0.136416566,0,0.003536178,0.01,0.066330698,0.097696604,0.022268142,0.02933459,0,0.003494883,0.01,0.020009472
19462,5.14E-08,0.00706713,0.005329116,0,0.006615528,0.01,0.011345428,5.14E-08,0.00706713,0.005327909,0,0.006615528,0.01,0.011345428
19463,0.038654706,0.010600699,0.020594648,0.058823529,0.01505736,0.01,0.007535524,0.038654706,0.010600699,0.020575194,0.058823529,0.01505736,0.01,0.007535524
19464,0.277511212,0.321895518,0.37189703,0.284971848,0.284354898,0.284457952,0.290096356,0.126442691,0.239515231,0.318202098,0.102040816,0.104680328,0.050408163,0.135226875
19465,0.897799893,0.863149672,0.863512812,0.858418889,0.869422789,0.867378175,0.866991168,0.539950384,0.305604007,0.334161726,0.283313325,0.212187611,0.152040816,0.223477236
19466,1.60E-16,0.014134267,0.005461861,0,0.011532458,0.01,0.011578234,1.60E-16,0.014134267,0.005376154,0,0.011532458,0.01,0.011578234
19467,0.1024,0.003533561,0.010863256,0,0.002898579,0.01,0.008108471,0.1024,0.003533561,0.010848872,0,0.002898579,0.01,0.008108471
19468,0.043980465,0.017667841,0.050989402,0,0.010850797,0.01,0.020384277,0.043980465,0.017667841,0.05092452,0,0.010850797,0.01,0.020384277
19469,2.162688,0.116607714,0.356211725,0,0.035697836,0.01,0.109509498,2.162688,0.116607714,0.355747786,0,0.035697836,0.01,0.109509498
19470,5.47E-12,0.00706713,0.00081246,0,0.005907648,0.01,0.011541951,5.47E-12,0.00706713,0.00078017,0,0.005907648,0.01,0.011541951
19471,6.24E-17,0.003533561,0.001238883,0,0.001447986,0.01,0.004829517,6.24E-17,0.003533561,0.001236492,0,0.001447986,0.01,0.004829517
19472,0.000188517,0.030210026,0.00823477,0,0.07985894,0.01,0.094625137,0.000188517,0.030210026,0.006764628,0,0.07985894,0.01,0.094625137
19473,4.70E-13,0.003533561,0.001948299,0,0.003623303,0.01,0.005074101,4.70E-13,0.003533561,0.001946442,0,0.003623303,0.01,0.005074101
19474,1.25E-10,1.170171346,0.91202788,0,0.234964385,0.01,0.468638529,1.25E-10,1.170171346,0.911697447,0,0.234964385,0.01,0.468638529
19475,0.304826045,0.313413668,0.32402553,0.338019922,0.329907986,0.317738233,0.358844975,0.069893723,0.186796502,0.215058517,0.104441777,0.117136771,0.070143005,0.180651271
19476,0.01643861,0.021201406,0.043244312,0,0.029828168,0.01,0.022280401,0.01643861,0.021201406,0.043205729,0,0.029828168,0.01,0.022280401
19477,7.34E-12,0.028268546,0.017494517,0,0.034910013,0.01,0.040587481,7.34E-12,0.028268546,0.017477231,0,0.034910013,0.01,0.040587481
19478,2.87E-07,0.05300353,0.010778286,0,0.044010542,0.01,0.05738107,2.87E-07,0.05300353,0.010156417,0,0.044010542,0.01,0.05738107
19479,0.013510799,0.010600698,0.029957821,0,0.01311178,0.01,0.01421317,0.013510799,0.010600698,0.029919922,0,0.01311178,0.01,0.01421317
19480,0.274721128,0.274721128,0.274721128,0.285714286,0.285714286,0.285714286,0.29610267,0.037735849,0.037735849,0.037735849,0.040816327,0.040816327,0.040816327,0.061290144
19481,1.36E-05,0.003533561,0.008020942,0,0.00436379,0.01,0.002236465,1.36E-05,0.003533561,0.008011119,0,0.00436379,0.01,0.002236465
19482,1.07E-11,0.003533561,0.003060671,0,0.003271545,0.01,0.005572161,1.07E-11,0.003533561,0.003057388,0,0.003271545,0.01,0.005572161
19483,4.76E-11,0.067137806,0.051948542,0,0.068354479,0.01,0.086774755,4.76E-11,0.067137806,0.05194254,0,0.068354479,0.01,0.086774755
19484,1.36E-05,0.003533561,0.008020942,0,0.00436379,0.01,0.002236465,1.36E-05,0.003533561,0.008011119,0,0.00436379,0.01,0.002236465
19485,1.74E-09,0.084805646,0.025608347,0.294117647,0.105795269,0.01,0.087245644,1.74E-09,0.084805646,0.025511308,0.294117647,0.105795269,0.01,0.087245644
19486,0.002772403,0.017667837,0.037907551,0,0.020010748,0.01,0.014848636,0.002772403,0.017667837,0.037882539,0,0.020010748,0.01,0.014848636
19487,8.76E-05,0.169611307,0.13749332,0.294117647,0.157671086,0.01,0.187310083,8.76E-05,0.169611307,0.137493301,0.294117647,0.157671086,0.01,0.187310083
19488,6.49E-05,0.010600699,0.002684423,0,0.011196564,0.01,0.01177659,6.49E-05,0.010600699,0.002674481,0,0.011196564,0.01,0.01177659
19489,2.76E-23,0.070672619,0.151150069,0,0.079712616,0.01,0.074423405,2.76E-23,0.070672619,0.150941532,0,0.079712616,0.01,0.074423405
19490,8.03E-08,0.003533561,0.006223316,0,0.002181857,0.01,0.004850062,8.03E-08,0.003533561,0.006215901,0,0.002181857,0.01,0.004850062
19491,1.56E-10,0.021201404,0.020268776,0.176470588,0.024008653,0.01,0.03039206,1.56E-10,0.021201404,0.020246613,0.176470588,0.024008653,0.01,0.03039206
19492,3.26E-11,0.003533561,0.003457465,0.029411765,0.003270179,0.01,0.005218827,3.26E-11,0.003533561,0.003453668,0.029411765,0.003270179,0.01,0.005218827
19493,9.65E-07,0.042402823,0.080767489,0,0.002184492,0.01,0.035537372,9.65E-07,0.042402823,0.080676588,0,0.002184492,0.01,0.035537372
19494,0.001276059,0.212014125,0.490547014,0,0.218190474,0.01,0.201545207,0.001276059,0.212014125,0.489944914,0,0.218190474,0.01,0.201545207
19495,1.93E-19,0.00706713,0.007111652,0,0.009468277,0.01,0.008572248,1.93E-19,0.00706713,0.007101019,0,0.009468277,0.01,0.008572248
19496,0.303295905,0.399341029,0.928308078,0.319438282,0.418920398,0.317673302,0.393041479,0.081937271,0.350620811,0.920041237,0.06122449,0.352115606,0.070408163,0.322339259
19497,0.004611686,0.014134268,0.029117865,0.058823529,0.012596711,0.01,0.006031794,0.004611686,0.014134268,0.029090791,0.058823529,0.012596711,0.01,0.006031794
19498,1.04E-07,0.020248278,0.027000901,0.117647059,0.019446663,0.01,0.035072013,1.04E-07,0.020248278,0.026950798,0.117647059,0.019446663,0.01,0.035072013
19499,2.18E-21,0.003533561,0.004915669,0,0.003643009,0.01,0.002569175,2.18E-21,0.003533561,0.004908616,0,0.003643009,0.01,0.002569175
19500,2.03E-20,0.003552315,0.004115647,0,0.001819519,0.01,0.003967205,2.03E-20,0.003552315,0.004109616,0,0.001819519,0.01,0.003967205
19501,0.623221886,0.626711489,0.61595654,0.711239178,0.687677453,0.667121715,0.662608096,0.261613571,0.423761579,0.333530143,0.505402161,0.443611194,0.211669808,0.449804948
19502,0.412075988,0.411611201,0.411023917,0.428571429,0.428164854,0.42725751,0.432989298,0.056643744,0.060003993,0.064686999,0.06122449,0.063866237,0.070816327,0.083978701
19503,2.43E-10,0.003533561,0.004170891,0.029411765,0.003274247,0.01,0.004668143,2.43E-10,0.003533561,0.004166168,0.029411765,0.003274247,0.01,0.004668143
19504,9.34E-22,0.014134273,0.022863857,0,0.00880825,0.01,0.01131138,9.34E-22,0.014134273,0.022831558,0,0.00880825,0.01,0.01131138
19505,2.67E-24,0.021201411,0.037559168,0,0.028872283,0.01,0.027723464,2.67E-24,0.021201411,0.037470203,0,0.028872283,0.01,0.027723464
19506,0.08796093,0.035335682,0.101978798,0,0.021701593,0.01,0.042559548,0.08796093,0.035335682,0.101849034,0,0.021701593,0.01,0.042559548
