,rmse_tsb,rmse_ses,rmse_dotm,rmse_knn,rmse_rf,rmse_svr,rmse_mlp,mae_tsb,mae_ses,mae_dotm,mae_knn,mae_rf,mae_svr,mae_mlp
0,1.21E-19,0.003533561,0.003475867,0,0.005442707,0.001,0.004748942,1.21E-19,0.003533561,0.003470652,0,0.005442707,0.001,0.004748942
1,0.761463598,0.734592191,0.732510753,0.799103993,0.91313684,0.820049382,0.796625028,0.398702964,0.461973259,0.473384536,0.401560624,0.542461305,0.347695118,0.43546124
2,0.102057881,0.763203247,0.720166454,3.088235294,0.611731537,0.001393409,0.725670969,0.102057881,0.763203247,0.720133394,3.088235294,0.611731537,0.001393409,0.725670969
3,0.251281569,0.360728738,0.397850672,0,0.04050755,0.001,0.078858837,0.251281569,0.360728738,0.397728758,0,0.04050755,0.001,0.078858837
4,0.137360564,0.137360564,0.137360564,0.142857143,0.142857143,0.142857143,0.162577569,0.018867925,0.018867925,0.018867925,0.020408163,0.020408163,0.020408163,0.040881981
5,5.45E-10,0.038869248,0.04604162,0.294117647,0.036058997,0.001,0.041388475,5.45E-10,0.038869248,0.045997433,0.294117647,0.036058997,0.001,0.041388475
6,4.63E-25,0.007067135,0.016396579,0,0.007301983,0.001,0.007099956,4.63E-25,0.007067135,0.016374089,0,0.007301983,0.001,0.007099956
7,0.988468651,1.023850404,1.016462117,1.069044968,1.066877094,1.06873995,1.094632044,0.634203774,0.313354221,0.337430825,0.326530612,0.334071868,0.327326531,0.400823628
8,9.67E-05,0.045936396,0.099570006,0.117647059,0.050392313,0.001,0.057116088,9.67E-05,0.045936396,0.099492014,0.117647059,0.050392313,0.001,0.057116088
9,0.137360564,0.137360564,0.137360564,0.142857143,0.142857143,0.142857143,0.162577569,0.018867925,0.018867925,0.018867925,0.020408163,0.020408163,0.020408163,0.040881981
10,0.137360564,0.137360564,0.137360564,0.142857143,0.142857143,0.142857143,0.162577569,0.018867925,0.018867925,0.018867925,0.020408163,0.020408163,0.020408163,0.040881981
11,4.03E-14,0.003533561,0.001073117,0,0.000363636,0.001,0.005005072,4.03E-14,0.003533561,0.001072353,0,0.000363636,0.001,0.005005072
12,0.000202824,0.00706713,0.017429303,0,0.005823548,0.001,0.010473083,0.000202824,0.00706713,0.017407745,0,0.005823548,0.001,0.010473083
13,3.18E-10,0.014134267,0.015098728,0.117647059,0.013059403,0.001,0.011121665,3.18E-10,0.014134267,0.015081897,0.117647059,0.013059403,0.001,0.011121665
14,4.21E-24,0.003533567,0.007157076,0,0.00179986,0.001,0.005314025,4.21E-24,0.003533567,0.00714716,0,0.00179986,0.001,0.005314025
